Company,Facility,Total Stationary Combusion,Total Industrial Process,Total Flaring,Total Venting,Total Fugitive,Total On-site Transportation,Total Waste,Total Wastewater,Total Combined Industrial Process and Stationary Combustion,Total Emissions (tonnes CO2e)
CertainTeed Gypsum Canada Inc.,Vancouver Wallboard Plant,"19,893 ",0 ,0 ,0 ,0 ,212 ,0 ,0 ,0 ,"20,106 "
Chemical Lime of Canada,Langley Plant,0 ,0 ,0 ,0 ,0 ,134 ,1 ,0 ,"67,070 ","67,204 "
Chevron Canada Limited,Burnaby Refinery,"266,774 ","139,603 ",10 ,0 ,236 ,"1,407 ",0 ,206 ,0 ,"408,237 "
Chinook Energy Inc.,Boundary Lake 8-12,"10,255 ",0 ,708 ,25 ,636 ,0 ,0 ,0 ,0 ,"11,625 "
Chinook Energy Inc.,"BC Aggregated Facilities (E < 10,000 tCO2e each)","10,224 ",0 ,977 ,"4,050 ","11,673 ",0 ,0 ,0 ,0 ,"26,924 "
CIPA Lumber Co. Ltd.,CIPA Lumber Facility,"23,198 ",0 ,0 ,0 ,0 ,697 ,0 ,0 ,0 ,"23,896 "
City of Vancouver,Vancouver Landfill,47 ,0 ,0 ,0 ,0 ,"2,062 ","12,295 ",0 ,0 ,"14,405 "
Coastland Wood Industries Ltd.,Annacis Division,"13,422 ",0 ,0 ,0 ,0 ,"3,018 ",0 ,0 ,0 ,"16,440 "
Conifex Inc.,Conifex Inc. Facility,"8,801 ",0 ,0 ,0 ,0 ,"1,958 ",0 ,0 ,0 ,"10,758 "
ConocoPhillips Canada Resources Corp.,Boulder Comp Station D-072-G,"13,837 ",0 ,88 ,222 ,"1,967 ",0 ,0 ,0 ,0 ,"16,115 "
ConocoPhillips Canada Resources Corp.,Brassey Comp Station D-013-F,"17,924 ",0 ,3 ,389 ,"4,408 ",0 ,0 ,0 ,0 ,"22,723 "
