Facility,Company.x,Total.Stationary.Combusion.2010,diff.11.10,Total.Stationary.Combusion.2011,diff.12.11,Total.Stationary.Combusion.2012,diff.12.10
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,-5575,1519,-1519,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,-5010,2084,-2084,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,-4609,2485,-2485,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,-3694,3400,-3400,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,-2289,4805,-4805,0,-7094
Osprey Comp Stn A-003-J,Canadian natural Resources Limited,7216,-7216,0,0,0,-7216
Hythe Comp Stn D-033-I,EnCana Corporation,29729,-1381,28348,-5871,22477,-7252
Vancouver Refinery,Lantic Inc.,32818,-6259,26559,-1004,25555,-7263
North Vancouver Chlor-alkali Facility,Canexus Chemicals Canada Limited Partnership,17485,-4713,12772,-2620,10152,-7333
Velma B-088-D/94-H-8,Canadian natural Resources Limited,7870,-7870,0,0,0,-7870
Ladyfern B-047-H Gas Plant,Canadian natural Resources Limited,7928,-7928,0,0,0,-7928
Noel Production,Apache Canada Ltd.,8237,-8237,0,0,0,-8237
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,9175,17864,-17864,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,8938,17627,-17627,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,6193,14882,-14882,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,61661,70350,-70350,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,5718,14407,-14407,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,5617,14306,-14306,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,5292,13981,-13981,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,50084,58773,-58773,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,4010,12699,-12699,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,389390,398079,-398079,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,32347,41036,-41036,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,25895,34584,-34584,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,25836,34525,-34525,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,24949,33638,-33638,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,22280,30969,-30969,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,19984,28673,-28673,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,19290,27979,-27979,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,184773,193462,-193462,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,17854,26543,-26543,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,17635,26324,-26324,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,1216,9905,-9905,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,114078,122767,-122767,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,11113,19802,-19802,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,104961,113650,-113650,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,#VALUE!, -   ,#VALUE!,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,#VALUE!, -   ,#VALUE!,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,#VALUE!, -   ,#VALUE!,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,#VALUE!, -   ,#VALUE!,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,-8668,21,-21,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,-8628,61,-61,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,-8289,400,-400,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,-7686,1003,-1003,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,-7201,1488,-1488,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,-7170,1519,-1519,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,-6605,2084,-2084,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,-6204,2485,-2485,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,-548,8141,-8141,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,-5289,3400,-3400,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,-3884,4805,-4805,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,-273,8416,-8416,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,-2371,6318,-6318,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,-1550,7139,-7139,0,-8689
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,8689,-1463,7226,-7226,0,-8689
Kimea Comp Stn D-031-D,Canadian natural Resources Limited,8703,-529,8174,-8174,0,-8703
Helmet Comp Stn A-041-F,EnCana Corporation,8708,-8708,0,0,0,-8708
South Grizzly Comp Station C-097-J,ConocoPhillips Canada Resources Corp.,8814,-8814,0,0,0,-8814
Helmet (West Thet) Battery BCBT00002917,Penn West Petroleum,8838,9694,18532,-18532,0,-8838
Boundary Lake Gas Plant (11/14-24-084-15W6M),Suncor Energy Inc.,8867,-8867,0,0,0,-8867
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,8966,17864,-17864,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,8729,17627,-17627,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,61452,70350,-70350,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,5984,14882,-14882,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,5509,14407,-14407,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,5408,14306,-14306,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,5083,13981,-13981,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,49875,58773,-58773,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,389181,398079,-398079,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,3801,12699,-12699,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,32138,41036,-41036,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,25686,34584,-34584,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,25627,34525,-34525,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,24740,33638,-33638,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,22071,30969,-30969,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,19775,28673,-28673,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,19081,27979,-27979,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,184564,193462,-193462,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,17645,26543,-26543,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,17426,26324,-26324,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,113869,122767,-122767,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,10904,19802,-19802,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,104752,113650,-113650,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,1007,9905,-9905,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,#VALUE!, -   ,#VALUE!,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,#VALUE!, -   ,#VALUE!,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,#VALUE!, -   ,#VALUE!,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,#VALUE!, -   ,#VALUE!,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,-8877,21,-21,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,-8837,61,-61,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,-8498,400,-400,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,-7895,1003,-1003,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,-757,8141,-8141,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,-7410,1488,-1488,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,-7379,1519,-1519,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,-6814,2084,-2084,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,-6413,2485,-2485,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,-5498,3400,-3400,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,-482,8416,-8416,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,-4093,4805,-4805,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,-2580,6318,-6318,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,-1759,7139,-7139,0,-8898
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Trident Exploration Corp.,8898,-1672,7226,-7226,0,-8898
Noel Drillings & Completions,Apache Canada Ltd.,9128,-9128,0,0,0,-9128
Fireweed C-A-16-A/94-A-13,naL Resources Ltd.,9169,-9169,0,0,0,-9169
West Tommy Lakes Booster Station 2 C-030-J,Enerplus Corporation,9177,-497,8680,-8680,0,-9177
East Tommy Lakes Comp Station D-037-I,Enerplus Corporation,9234,-9234,0,0,0,-9234
Martin Birley A-048,Devon Canada Corporation,9418,-9418,0,0,0,-9418
Helmet North Comp Stn A-013-F,Canadian natural Resources Limited,9501,17614,27115,-27115,0,-9501
Clarke A-99-F/94-J-10,Progress Energy Resources Corp.,9504,-9504,0,0,0,-9504
Sikanni Gas Plant,Spectra Energy Transmission,9524,-4960,4564,-4564,0,-9524
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,8087,17864,-17864,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,7850,17627,-17627,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,60573,70350,-70350,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,5105,14882,-14882,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,48996,58773,-58773,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,4630,14407,-14407,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,4529,14306,-14306,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,4204,13981,-13981,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,388302,398079,-398079,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,31259,41036,-41036,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,2922,12699,-12699,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,24807,34584,-34584,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,24748,34525,-34525,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,23861,33638,-33638,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,21192,30969,-30969,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,18896,28673,-28673,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,183685,193462,-193462,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,18202,27979,-27979,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,16766,26543,-26543,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,16547,26324,-26324,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,128,9905,-9905,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,112990,122767,-122767,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,103873,113650,-113650,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,10025,19802,-19802,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,#VALUE!, -   ,#VALUE!,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,#VALUE!, -   ,#VALUE!,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,#VALUE!, -   ,#VALUE!,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,#VALUE!, -   ,#VALUE!,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,-9756,21,-21,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,-9716,61,-61,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,-9377,400,-400,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,-8774,1003,-1003,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,-8289,1488,-1488,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,-8258,1519,-1519,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,-7693,2084,-2084,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,-7292,2485,-2485,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,-6377,3400,-3400,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,-4972,4805,-4805,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,-3459,6318,-6318,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,-2638,7139,-7139,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,-2551,7226,-7226,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,-1636,8141,-8141,0,-9777
"BC Aggregated Facilities (E < 10,000 tCO2e each)",PetroBakken Energy Ltd.,9777,-1361,8416,-8416,0,-9777
V4 Texada Compressor Station,FortisBC Energy (Vancouver Island) Inc.,9802,-9802,0,0,0,-9802
Prince George Sawmill,Canadian Forest Products Ltd.,9966,-5658,4308,-4308,0,-9966
ANG Crowsnest Facility,TransCanada PipeLines Ltd.,122564,-13606,108958,3469,112427,-10137
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,9578,19802,-19802,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,7640,17864,-17864,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,7403,17627,-17627,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,60126,70350,-70350,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,48549,58773,-58773,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,4658,14882,-14882,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,4183,14407,-14407,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,4082,14306,-14306,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,387855,398079,-398079,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,3757,13981,-13981,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,30812,41036,-41036,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,2475,12699,-12699,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,24360,34584,-34584,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,24301,34525,-34525,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,23414,33638,-33638,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,20745,30969,-30969,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,18449,28673,-28673,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,183238,193462,-193462,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,17755,27979,-27979,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,16319,26543,-26543,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,16100,26324,-26324,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,112543,122767,-122767,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,103426,113650,-113650,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,#VALUE!, -   ,#VALUE!,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,#VALUE!, -   ,#VALUE!,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,#VALUE!, -   ,#VALUE!,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,#VALUE!, -   ,#VALUE!,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,-9824,400,-400,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,-9221,1003,-1003,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,-8736,1488,-1488,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,-8705,1519,-1519,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,-8140,2084,-2084,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,-7739,2485,-2485,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,-6824,3400,-3400,0,-10224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Chinook Energy Inc.,10224,-5419,4805,-4805,0,-10224
